Player,BPM,2P,3P
Steve Nash,3.8,361,156
Allen Iverson,4.8,664,98
Derrick Rose,5.9,583,128
Kobe Bryant,6.4,744,124
Dirk Nowitzki,6.7,601,72
Tim Duncan,7.6,763,1
Hakeem Olajuwon,8.4,848,0
Karl Malone,8.5,864,0
Kevin Durant,8.8,657,192
Magic Johnson,9.5,440,106
Shaquille O'Neal,9.7,956,0
Kevin Garnett,9.9,793,11
Charles Barkley,9.9,621,44
David Robinson,10.9,830,10
James Harden,11.7,465,378
Giannis Antetokounmpo,12.4,246,41
Stephen Curry,12.5,403,402
Michael Jordan,12.6,939,27
LeBron James,13,657,132
Russell Westbrook,15.6,624,200
Dino Rađa,0.5,491,0
Ralph Sampson,1.5,622,2
Joe Dumars,1.8,608,14
Jamaal Wilkes,2,723,3
Dražen Petrović,2,512,75
Šarūnas Marčiulionis,2.4,175,3
Yao Ming,3,565,1
Mitch Richmond,3.3,513,204
Maurice Cheeks,3.8,403,1
Steve Nash,3.8,361,156
James Worthy,4.1,629,0
Moses Malone,4.3,945,0
Bernard King,4.3,690,1
Jack Sikma,4.5,459,2
Dikembe Mutombo,4.6,173,0
Patrick Ewing,4.7,727,0
Alex English,4.7,957,2
Chris Mullin,4.8,595,87
Alonzo Mourning,4.8,324,0
Allen Iverson,4.8,664,98
Dominique Wilkins,4.9,797,31
Dennis Rodman,4.9,310,32
Adrian Dantley,4.9,817,1
Robert Parish,5,635,0
Reggie Miller,5,323,229
Isiah Thomas,5.2,617,29
Kevin McHale,5.2,790,0
Vlade Divac,5.3,475,10
John Stockton,5.5,327,102
Arvydas Sabonis,5.6,355,39
Sidney Moncrief,5.7,605,1
Ray Allen,6.4,228,123
Gary Payton,6.8,570,177
Jason Kidd,6.9,389,126
Grant Hill,8,615,10
Scottie Pippen,8.3,564,63
Hakeem Olajuwon,8.4,848,0
Clyde Drexler,8.4,580,114
Karl Malone,8.5,864,0
Larry Bird,9.2,696,90
Magic Johnson,9.5,440,106
Tracy McGrady,9.7,656,173
Shaquille O'Neal,9.7,956,0
Charles Barkley,9.9,621,44
David Robinson,10.9,830,10
Michael Jordan,12.6,939,27
Tacko Fall,-40.4,2,0
Jordan Bone,-34.4,2,0
Keldon Johnson,-28.1,0,0
Talen Horton-Tucker,-25.4,0,0
KZ Okpala,-24,0,0
Jared Harper,-23.1,0,0
Dewan Hernandez,-22.1,1,0
Moses Brown,-18.8,3,0
Sekou Doumbouya,-17.2,3,0
Zach Norvell,-16.9,0,0
Stanton Kidd,-15.8,0,0
Melvin Frazier,-12.9,7,0
Ignas Brazdeikis,-12.8,4,1
Garrison Mathews,-12.8,0,0
Brian Bowen,-12.2,1,0
Zylan Cheatham,-12,1,0
Jaylen Nowell,-11.9,1,0
Jalen McDaniels,-11.7,1,0
Devon Hall,-11.5,1,0
Miye Oni,-11.2,0,0
Brandon Goodwin,-10.9,4,2
Kostas Antetokounmpo,-10.1,0,0
Kelan Martin,-9.9,10,5
Nigel Williams-Goss,-9.3,0,0
Justin Robinson,-9.1,1,1
Jordan Poole,-9,30,30
Jordan McLaughlin,-9,3,1
Caleb Martin,-8.9,3,0
Luguentz Dort,-7.6,5,0
Daryl Macon,-7.2,5,5
Jacob Evans,-6.9,14,4
Cam Reddish,-6.7,42,25
John Konchar,-6.6,0,0
Darius Garland,-6.6,60,42
Džanan Musa,-6.6,21,9
Nickeil Alexander-Walker,-6.5,22,27
Kobi Simmons,-6,69,11
Deonte Burton,-6,8,5
Josh Gray,-5.5,8,3
Michael Porter,-5.5,18,7
Naz Reid,-5.4,0,1
